Write Threshold,Trace Name,Slow Chip,Fast Read Cost,Fast Write Cost,Slow Write Cost,Write Proportion,Average Read Block Size,Normalized Cost (%)
6,603,DDR5_6400AN,13,146,146,0.017208,342.6178521617852,0.0
6,bfs_web,DDR5_6400AN,10,49,49,0.011546,493.1746361746362,0.0
6,638,DDR5_6400AN,10,47,47,0.00223,2616.8814016172505,0.0
6,654,DDR5_6400AN,11,31,31,0.026629,219.32559711581794,0.0
6,644,DDR5_6400AN,13,40,40,0.000445,12763.972972972973,0.0
6,619,DDR5_6400AN,13,13,13,0.072935,76.26285479226655,0.0
12,657,DDR5_1600AN,13,1,1,0.0,0.0,0.0
12,cc_web,DDR5_1600AN,9,19,35,0.075295,147.3731271915843,0.0
12,cc_twi,DDR5_1600AN,10,17,36,0.111238,95.87841191066998,0.0
12,cc_road,DDR5_1600AN,10,25,38,0.107651,99.47224080267559,0.0
12,pr_road,DDR5_1600AN,9,19,36,0.158658,63.63459647530444,0.0
12,648,DDR5_1600AN,12,1,1,0.0,0.0,0.0
12,625,DDR5_1600AN,13,32,44,0.007099,1678.3604060913706,0.0
12,bfs_road,DDR5_1600AN,10,19,37,0.196136,49.18165687714146,0.5155519003419206
12,620,DDR5_1600AN,11,12,35,0.007225,1648.983388704319,0.0
12,bc_web,DDR5_1600AN,12,48,56,0.315143,26.078062526179504,0.0
12,641,DDR5_1600AN,13,0,0,5e-06,0.0,0.0
12,607,DDR5_1600AN,17,144,144,0.003454,3432.547038327526,0.0
12,623,DDR5_1600AN,10,10,32,0.000487,24464.625,0.0
12,pr_twi,DDR5_1600AN,10,22,36,0.04663,245.2996138996139,0.0
12,600,DDR5_1600AN,13,17,33,0.000516,23113.86046511628,0.0
12,621,DDR5_1600AN,10,28,40,0.003612,3258.0,0.0
12,bc_twi,DDR5_1600AN,10,16,36,0.179182,54.971401781528364,0.3809372076587783
12,628,DDR5_1600AN,12,39,45,0.003841,3009.971875,0.0
12,pr_web,DDR5_1600AN,9,25,37,0.051664,220.26550522648083,0.0
12,649,DDR5_1600AN,10,19,24,9.8e-05,122717.375,0.0
12,bfs_twi,DDR5_1600AN,10,19,36,0.018873,624.0527989821883,0.0
12,bc_road,DDR5_1600AN,10,15,36,0.241354,37.71966984884646,1.3138852233685965
12,605,DDR5_1600AN,11,0,0,2.7e-05,279930.0,0.0
12,603,DDR5_1600AN,13,146,146,0.017208,685.2357043235704,0.0
12,bfs_web,DDR5_1600AN,10,49,54,0.011546,986.3492723492724,0.0
12,638,DDR5_1600AN,10,47,52,0.00223,5081.854054054054,0.0
12,654,DDR5_1600AN,11,31,43,0.026629,438.6511942316359,0.0
12,644,DDR5_1600AN,13,40,46,0.000445,25527.945945945947,0.0
12,619,DDR5_1600AN,13,13,35,0.072935,152.51275300312653,0.0
12,657,DDR5_3200AN,13,1,1,0.0,0.0,0.0
12,cc_web,DDR5_3200AN,9,19,21,0.075295,147.3731271915843,0.0
12,cc_twi,DDR5_3200AN,10,17,20,0.111238,95.87841191066998,0.0
12,cc_road,DDR5_3200AN,10,25,27,0.107651,99.47224080267559,0.0
12,pr_road,DDR5_3200AN,9,19,21,0.158658,63.63459647530444,0.0
12,648,DDR5_3200AN,12,1,1,0.0,0.0,0.0
12,625,DDR5_3200AN,13,32,34,0.007099,1678.3604060913706,0.0
12,bfs_road,DDR5_3200AN,10,19,22,0.196136,49.18165687714146,0.0
12,620,DDR5_3200AN,11,12,18,0.007225,1648.983388704319,0.0
12,bc_web,DDR5_3200AN,12,48,49,0.315143,26.078062526179504,0.0
12,641,DDR5_3200AN,13,0,0,5e-06,0.0,0.0
12,607,DDR5_3200AN,17,144,144,0.003454,3432.547038327526,0.0
12,623,DDR5_3200AN,10,10,16,0.000487,24464.625,0.0
12,pr_twi,DDR5_3200AN,10,22,23,0.04663,245.2996138996139,0.0
12,600,DDR5_3200AN,13,17,19,0.000516,23113.86046511628,0.0
12,621,DDR5_3200AN,10,28,30,0.003612,3258.0,0.0
12,bc_twi,DDR5_3200AN,10,16,19,0.179182,54.971401781528364,0.0
12,628,DDR5_3200AN,12,39,39,0.003841,3009.971875,0.0
12,pr_web,DDR5_3200AN,9,25,27,0.051664,220.26550522648083,0.0
12,649,DDR5_3200AN,10,19,20,9.8e-05,122717.375,0.0
12,bfs_twi,DDR5_3200AN,10,19,21,0.018873,624.0527989821883,0.0
12,bc_road,DDR5_3200AN,10,15,19,0.241354,37.71966984884646,0.0
12,605,DDR5_3200AN,11,0,0,2.7e-05,279930.0,0.0
12,603,DDR5_3200AN,13,146,146,0.017208,685.2357043235704,0.0
12,bfs_web,DDR5_3200AN,10,49,49,0.011546,986.3492723492724,0.0
12,638,DDR5_3200AN,10,47,47,0.00223,5081.854054054054,0.0
12,654,DDR5_3200AN,11,31,34,0.026629,438.6511942316359,0.0
12,644,DDR5_3200AN,13,40,40,0.000445,25527.945945945947,0.0
12,619,DDR5_3200AN,13,13,19,0.072935,152.51275300312653,0.0
12,657,DDR5_6400AN,13,1,1,0.0,0.0,0.0
12,cc_web,DDR5_6400AN,9,19,19,0.075295,147.3731271915843,0.0
12,cc_twi,DDR5_6400AN,10,17,17,0.111238,95.87841191066998,0.0
12,cc_road,DDR5_6400AN,10,25,25,0.107651,99.47224080267559,0.0
12,pr_road,DDR5_6400AN,9,19,19,0.158658,63.63459647530444,0.0
12,648,DDR5_6400AN,12,1,1,0.0,0.0,0.0
12,625,DDR5_6400AN,13,32,32,0.007099,1678.3604060913706,0.0
12,bfs_road,DDR5_6400AN,10,19,19,0.196136,49.18165687714146,0.0
12,620,DDR5_6400AN,11,12,12,0.007225,1648.983388704319,0.0
12,bc_web,DDR5_6400AN,12,48,48,0.315143,26.078062526179504,0.0
12,641,DDR5_6400AN,13,0,0,5e-06,0.0,0.0
12,607,DDR5_6400AN,17,144,144,0.003454,3432.547038327526,0.0
12,623,DDR5_6400AN,10,10,10,0.000487,24464.625,0.0
12,pr_twi,DDR5_6400AN,10,22,22,0.04663,245.2996138996139,0.0
12,600,DDR5_6400AN,13,17,17,0.000516,23113.86046511628,0.0
12,621,DDR5_6400AN,10,28,28,0.003612,3258.0,0.0
12,bc_twi,DDR5_6400AN,10,16,16,0.179182,54.971401781528364,0.0
12,628,DDR5_6400AN,12,39,39,0.003841,3009.971875,0.0
12,pr_web,DDR5_6400AN,9,25,25,0.051664,220.26550522648083,0.0
12,649,DDR5_6400AN,10,19,19,9.8e-05,122717.375,0.0
12,bfs_twi,DDR5_6400AN,10,19,19,0.018873,624.0527989821883,0.0
12,bc_road,DDR5_6400AN,10,15,15,0.241354,37.71966984884646,0.0
12,605,DDR5_6400AN,11,0,0,2.7e-05,279930.0,0.0
12,603,DDR5_6400AN,13,146,146,0.017208,685.2357043235704,0.0
12,bfs_web,DDR5_6400AN,10,49,49,0.011546,986.3492723492724,0.0
12,638,DDR5_6400AN,10,47,47,0.00223,5081.854054054054,0.0
12,654,DDR5_6400AN,11,31,31,0.026629,438.6511942316359,0.0
12,644,DDR5_6400AN,13,40,40,0.000445,25527.945945945947,0.0
12,619,DDR5_6400AN,13,13,13,0.072935,152.51275300312653,0.0
24,657,DDR5_1600AN,13,1,1,0.0,0.0,0.0
24,cc_web,DDR5_1600AN,9,19,35,0.075295,294.7462543831686,0.0
24,cc_twi,DDR5_1600AN,10,17,36,0.111238,191.75615019421667,0.0
24,cc_road,DDR5_1600AN,10,25,38,0.107651,198.94448160535117,0.0
24,pr_road,DDR5_1600AN,9,19,36,0.158658,127.27004538577913,0.0
24,648,DDR5_1600AN,12,1,1,0.0,0.0,0.0
24,625,DDR5_1600AN,13,32,44,0.007099,3360.3254237288133,0.0
24,bfs_road,DDR5_1600AN,10,19,37,0.196136,98.36331375428291,0.37290475606009316
24,620,DDR5_1600AN,11,12,35,0.007225,3297.966777408638,0.0
24,bc_web,DDR5_1600AN,12,48,56,0.315143,52.15628332063976,0.0
24,641,DDR5_1600AN,13,0,0,5e-06,0.0,0.0
24,607,DDR5_1600AN,17,144,144,0.003454,6791.272727272727,0.0
24,623,DDR5_1600AN,10,10,32,0.000487,48929.25,0.0
24,pr_twi,DDR5_1600AN,10,22,36,0.04663,490.63645726055614,0.0
24,600,DDR5_1600AN,13,17,33,0.000516,47294.380952380954,0.0
24,621,DDR5_1600AN,10,28,40,0.003612,5950.98,0.0
24,bc_twi,DDR5_1600AN,10,16,36,0.179182,109.94333556597455,0.13821314236770688
24,628,DDR5_1600AN,12,39,45,0.003841,6019.94375,0.0
24,pr_web,DDR5_1600AN,9,25,37,0.051664,440.3364312267658,0.0
24,649,DDR5_1600AN,10,19,24,9.8e-05,245434.75,0.0
24,bfs_twi,DDR5_1600AN,10,19,36,0.018873,1248.1055979643766,0.0
24,bc_road,DDR5_1600AN,10,15,36,0.241354,75.43933969769292,0.2373426205774535
24,605,DDR5_1600AN,11,0,0,2.7e-05,559860.0,0.0
24,603,DDR5_1600AN,13,146,146,0.017208,1370.4714086471408,0.0
24,bfs_web,DDR5_1600AN,10,49,54,0.011546,1972.6985446985448,0.0
24,638,DDR5_1600AN,10,47,52,0.00223,9623.967391304348,0.0
24,654,DDR5_1600AN,11,31,43,0.026629,877.5103697024347,0.0
24,644,DDR5_1600AN,13,40,46,0.000445,51837.055555555555,0.0
24,619,DDR5_1600AN,13,13,35,0.072935,304.9700460829493,0.0
24,657,DDR5_3200AN,13,1,1,0.0,0.0,0.0
24,cc_web,DDR5_3200AN,9,19,21,0.075295,294.7462543831686,0.0
24,cc_twi,DDR5_3200AN,10,17,20,0.111238,191.75615019421667,0.0
24,cc_road,DDR5_3200AN,10,25,27,0.107651,198.94448160535117,0.0
24,pr_road,DDR5_3200AN,9,19,21,0.158658,127.27004538577913,0.0
