Write Threshold,Trace Name,Slow Chip,Fast Read Cost,Fast Write Cost,Slow Write Cost,Write Proportion,Average Read Block Size,Normalized Cost (%)
6,603,DDR5_1600AN,13,146,146,0.017208,342.6178521617852,0.0
6,605,DDR5_1600AN,11,0,0,2.7e-05,139965.0,0.0
6,607,DDR5_1600AN,17,144,144,0.003454,1716.4939130434782,0.0
6,619,DDR5_1600AN,13,13,35,0.072935,76.26285479226655,0.0
6,623,DDR5_1600AN,10,10,32,0.000487,12084.172839506173,0.0
6,628,DDR5_1600AN,12,39,45,0.003841,1504.9859375,0.0
6,654,DDR5_1600AN,11,31,43,0.026629,219.32559711581794,0.0
6,620,DDR5_1600AN,11,12,35,0.007225,824.4916943521595,0.0
6,600,DDR5_1600AN,13,17,33,0.000516,11556.93023255814,0.0
6,657,DDR5_1600AN,13,1,1,0.0,0.0,0.0
6,bfs_twi,DDR5_1600AN,10,19,36,0.018873,311.9523052464229,0.02365610475353296
6,bfs_web,DDR5_1600AN,10,49,54,0.011546,493.1746361746362,0.0
6,bfs_road,DDR5_1600AN,10,19,37,0.196136,24.59065740769066,1.0839515187334476
6,bc_twi,DDR5_1600AN,10,16,36,0.179182,27.48524930516023,1.3892803793167776
6,bc_web,DDR5_1600AN,12,48,56,0.315143,13.03895436285056,0.0
6,bc_road,DDR5_1600AN,10,15,36,0.241354,18.859863269111248,4.690040843123433
6,pr_twi,DDR5_1600AN,10,22,36,0.04663,122.64225968343843,0.0
6,pr_web,DDR5_1600AN,9,25,37,0.051664,110.13275261324041,0.0
6,pr_road,DDR5_1600AN,9,19,36,0.158658,31.81707824376962,0.040176843760985854
6,cc_twi,DDR5_1600AN,10,17,36,0.111238,47.93893953287664,0.0009061632694773502
6,603,DDR5_3200AN,13,146,146,0.017208,342.6178521617852,0.0
6,605,DDR5_3200AN,11,0,0,2.7e-05,139965.0,0.0
6,607,DDR5_3200AN,17,144,144,0.003454,1716.4939130434782,0.0
6,619,DDR5_3200AN,13,13,19,0.072935,76.26285479226655,0.0
6,623,DDR5_3200AN,10,10,16,0.000487,12084.172839506173,0.0
6,628,DDR5_3200AN,12,39,39,0.003841,1504.9859375,0.0
6,654,DDR5_3200AN,11,31,34,0.026629,219.32559711581794,0.0
6,620,DDR5_3200AN,11,12,18,0.007225,824.4916943521595,0.0
6,600,DDR5_3200AN,13,17,19,0.000516,11556.93023255814,0.0
6,657,DDR5_3200AN,13,1,1,0.0,0.0,0.0
6,bfs_twi,DDR5_3200AN,10,19,21,0.018873,311.9523052464229,0.0
6,bfs_web,DDR5_3200AN,10,49,49,0.011546,493.1746361746362,0.0
6,bfs_road,DDR5_3200AN,10,19,22,0.196136,24.59065740769066,0.0
6,bc_twi,DDR5_3200AN,10,16,19,0.179182,27.48524930516023,0.0
6,bc_web,DDR5_3200AN,12,48,49,0.315143,13.03895436285056,0.0
6,bc_road,DDR5_3200AN,10,15,19,0.241354,18.859863269111248,0.0
6,pr_twi,DDR5_3200AN,10,22,23,0.04663,122.64225968343843,0.0
6,pr_web,DDR5_3200AN,9,25,27,0.051664,110.13275261324041,0.0
6,pr_road,DDR5_3200AN,9,19,21,0.158658,31.81707824376962,0.0
